date,location,url,image_file
3/11/2015,IUB,https://www.idsnews.com/article/2015/03/journalist-talks-about-rape-story,IUB_03112015_472.png
3/5/2015,IUB,https://www.idsnews.com/article/2015/03/a-broken-promise,IUB_03052015_475.png
3/5/2015,IUB,https://www.idsnews.com/article/2015/03/intouch-for-iusa-to-run-in-election,IUB_03052015_476.png
3/4/2015,IUB,https://www.idsnews.com/article/2015/03/robel-delivers-state-of-campus-address,IUB_03042015_479.png
2/23/2015,IUB,https://www.idsnews.com/article/2015/02/losing-focus-in-the-gun-debate,IUB_02232015_484.png
2/18/2015,IUB,https://www.idsnews.com/article/2015/02/bad-love-story-hits-the-big-screen,IUB_02182015_487.png
2/17/2015,IUB,https://www.idsnews.com/article/2015/02/bfc-tackles-greek-life-and-sexual-assault,IUB_02172015_488.png
2/17/2015,IUB,https://www.idsnews.com/article/2015/02/a-service-long-overdue,IUB_02172015_489.png
2/15/2015,IUB,https://www.idsnews.com/article/2015/02/students-dance-in-worldwide-movement,IUB_02152015_490.png
3/1/2015,IUB,https://www.idsnews.com/article/2015/03/explore-the-kinsey-institute,IUB_03012015_493.png
2/9/2015,IUB,https://www.idsnews.com/article/2015/02/student-groups-bring-awareness-to-domestic-sexual-violence,IUB_02092015_496.png
2/8/2015,IUB,https://www.idsnews.com/article/2015/02/iu-student-reflects-on-personal-connection-to-good-kids,IUB_02082015_500.png
2/4/2015,IUB,https://www.idsnews.com/article/2015/02/home-field-advantage,IUB_02042015_501.png
2/3/2015,IUB,https://www.idsnews.com/article/2015/02/good-kids-opens-at-iu-theatre-friday,IUB_02032015_502.png
2/1/2015,IUB,https://www.idsnews.com/article/2015/02/rename-the-claim,IUB_02012015_503.png
1/12/2015,IUB,https://www.idsnews.com/article/2015/01/jokes-on-cosby,IUB_01122015_513.png
12/26/2016,IUB,https://www.idsnews.com/article/2016/12/expelled-student-sues-iu-for-gender-discrimination,IUB_12262016_514.png
12/7/2016,IUB,https://www.idsnews.com/article/2016/12/sexual-violence-prevention-workshop-looks-beyond-gender-sexuality,IUB_12072016_515.png
12/7/2016,IUB,https://www.idsnews.com/article/2016/12/casey-affleck-sexual-harassment-accusations-wont-stop-oscars,IUB_12072016_516.png
12/8/2016,IUB,https://www.idsnews.com/article/2016/12/domestic-violence-prevention-pushes-onward,IUB_12082016_517.png
12/5/2016,IUB,https://www.idsnews.com/article/2016/12/wilsons-resignation-points-to-larger-problem,IUB_12052016_519.png
12/6/2016,IUB,https://www.idsnews.com/article/2016/12/they-waited-six-weeks-5b9c4b334325b,IUB_12062016_520.png
12/5/2016,IUB,https://www.idsnews.com/article/2016/12/family-moves-from-shanghai-to-find-restaurant-bike-team,IUB_12052016_521.png
12/3/2016,IUB,https://www.idsnews.com/article/2016/12/iu-student-arrested-for-rape,IUB_12032016_522.png
12/2/2016,IUB,https://www.idsnews.com/article/2016/12/caught-in-the-red-zone,IUB_12022016_523.png
11/30/2016,IUB,https://www.idsnews.com/article/2016/12/sasv-makes-demands-to-trustees,IUB_11302016_524.png
11/15/2016,IUB,https://www.idsnews.com/article/2016/11/actress-exposes-directorial-abuse,IUB_11152016_527.png
11/13/2016,IUB,https://www.idsnews.com/article/2016/11/activists-speak-out-on-stopping-sexual-violence,IUB_11132016_528.png
11/6/2016,IUB,https://www.idsnews.com/article/2016/11/city-and-middle-way-house-join-for-community-awareness-event,IUB_11062016_529.png
10/30/2016,IUB,https://www.idsnews.com/article/2016/10/gingrich-kelly-exchange-highlights-gops-losing-strategy,IUB_10302016_531.png
10/28/2016,IUB,https://www.idsnews.com/article/2016/10/daniel-messel-rape-2012,IUB_10282016_532.png
10/27/2016,IUB,https://www.idsnews.com/article/2016/10/feminist-student-association-responds-to-trump,IUB_10272016_533.png
10/27/2016,IUB,https://www.idsnews.com/article/2016/10/alpha-epsilon-pi-to-continue-sexual-assault-programs,IUB_10272016_534.png
10/24/2016,IUB,https://www.idsnews.com/article/2016/10/editorial-iu-sexy-shakeout,IUB_10242016_537.png
10/23/2016,IUB,https://www.idsnews.com/article/2016/10/bloomington-women-discuss-possible-female-president,IUB_10232016_538.png
10/23/2016,IUB,https://www.idsnews.com/article/2016/10/parents-shocked-school-bus-driver-facing-charges,IUB_10232016_539.png
10/19/2016,IUB,https://www.idsnews.com/article/2016/10/iu-employees-discuss-their-role-in-stopping-sexual-assaults,IUB_10192016_542.png
10/16/2016,IUB,https://www.idsnews.com/article/2016/10/women-support-trump-despite-lewd-comments,IUB_10162016_543.png
10/16/2016,IUB,https://www.idsnews.com/article/2016/10/a-week-ago-we-shared-our-stories-here-are-some-of-yours,IUB_10162016_544.png
10/16/2016,IUB,https://www.idsnews.com/article/2016/10/sasv-calls-for-a-new-campus-now,IUB_10162016_546.png
10/13/2016,IUB,https://www.idsnews.com/article/2016/10/organizations-survivors-raise-awareness-for-sexual-violence,IUB_10132016_547.png
10/12/2016,IUB,https://www.idsnews.com/article/2016/10/sigma-chi-hopes-to-raise-awareness-of-sexual-assault,IUB_10122016_548.png
10/10/2016,IUB,https://www.idsnews.com/article/2016/10/local-officials-respond-to-gop-denouncements,IUB_10102016_552.png
10/13/2016,IUB,https://www.idsnews.com/article/2016/10/student-advocates-office-assists-students-with-issues-on-campus,IUB_10132016_553.png
10/9/2016,IUB,https://www.idsnews.com/article/2016/10/these-are-our-stories,IUB_10092016_556.png
10/9/2016,IUB,https://www.idsnews.com/article/2016/10/presidential-candidates-have-differing-views-on-millennial-issues,IUB_10092016_557.png
10/5/2016,IUB,https://www.idsnews.com/article/2016/10/jesse-eisenberg-to-perform-stand-up-comedy,IUB_10052016_558.png
10/5/2016,IUB,https://www.idsnews.com/article/2016/10/hbos-westworld-brings-new-meaning-to-uncanny-valley,IUB_10052016_559.png
10/4/2016,IUB,https://www.idsnews.com/article/2016/10/kim-kardashian-robbed-and-twitter-backlashes,IUB_10042016_560.png
9/27/2016,IUB,https://www.idsnews.com/article/2016/09/greek-reform-mixed-results,IUB_09272016_562.png
9/20/2016,IUB,https://www.idsnews.com/article/2016/09/masked-man-devin-grounds-no-stranger-to-monroe-county-courts,IUB_09202016_563.png
9/19/2016,IUB,https://www.idsnews.com/article/2016/09/man-arrested-in-sept-5-rape-connected-to-four-near-campus-break-ins,IUB_09192016_564.png
9/15/2016,IUB,https://www.idsnews.com/article/2016/09/students-administrators-talkchanges-toiu-codeof-conduct,IUB_09152016_565.png
9/13/2016,IUB,https://www.idsnews.com/article/2016/09/lena-dunham-shames-womens-rights-movement,IUB_09132016_566.png
9/11/2016,IUB,https://www.idsnews.com/article/2016/09/sasv-ratifies-major-demands,IUB_09112016_567.png
9/11/2016,IUB,https://www.idsnews.com/article/2016/09/crimes-shake-campus,IUB_09112016_568.png
9/8/2016,IUB,https://www.idsnews.com/article/2016/09/police-investigate-four-connected-break-ins-south-of-campus,IUB_09082016_569.png
8/29/2016,IUB,https://www.idsnews.com/article/2016/08/silence-on-trigger-warnings-leaves-room-for-opinions,IUB_08292016_572.png
8/24/2016,IUB,https://www.idsnews.com/article/2016/08/progressive-student-organization-changes-name-keeps-goals,IUB_08242016_573.png
8/17/2016,IUB,https://www.idsnews.com/article/2016/08/greek-house-searchpolicy-creates-controversy,IUB_08172016_576.png
7/26/2016,IUB,https://www.idsnews.com/article/2016/07/big-ten-says-no-transfer-policy,IUB_07262016_579.png
7/20/2016,IUB,https://www.idsnews.com/article/2016/07/wang-probable-cause,IUB_07202016_580.png
7/15/2016,IUB,https://www.idsnews.com/article/2016/07/former-jacobs-professor-charged-with-sexual-battery-by-force,IUB_07152016_581.png
6/1/2016,IUB,https://www.idsnews.com/article/2016/06/editorial-two-takes-on-north-carolinas-bathroom-bill,IUB_06012016_584.png
5/5/2016,IUB,https://www.idsnews.com/article/2016/05/a-year-in-review,IUB_05052016_587.png
5/1/2016,IUB,https://www.idsnews.com/article/2016/05/middle-way-house-seeks-more-male-volunteers,IUB_05012016_588.png
4/28/2016,IUB,https://www.idsnews.com/article/2016/04/greeks-speak-out-against-sexual-violence,IUB_04282016_589.png
4/26/2016,IUB,https://www.idsnews.com/article/2016/04/sanitary-napkins-line-campus,IUB_04262016_591.png
4/21/2016,IUB,https://www.idsnews.com/article/2016/04/slut-walk-protests-rape-culture,IUB_04212016_594.png
4/21/2016,IUB,https://www.idsnews.com/article/2016/04/musician-channels-trauma-for-recital-activism,IUB_04212016_596.png
4/18/2016,IUB,https://www.idsnews.com/article/2016/04/bpd-reports-abnormally-mild-little-500-weekend,IUB_04182016_599.png
4/19/2016,IUB,https://www.idsnews.com/article/2016/04/editorial-standards-of-decency-in-the-information-age,IUB_04192016_600.png
4/17/2016,IUB,https://www.idsnews.com/article/2016/04/sunday-morning-rape-reported-to-iupd-happened-in-the-street,IUB_04172016_601.png
4/14/2016,IUB,https://www.idsnews.com/article/2016/04/jason-casares-will-not-face-criminal-charges,IUB_04142016_603.png
4/13/2016,IUB,https://www.idsnews.com/article/2016/04/editorial-clock-runs-out-for-kesha-in-new-york,IUB_04132016_604.png
4/13/2016,IUB,https://www.idsnews.com/article/2016/04/comedics-team-up-with-prosecutors-office-fore-sexual-assault-awareness-month,IUB_04132016_605.png
4/7/2016,IUB,https://www.idsnews.com/article/2016/04/funding-focuses-on-prevention-to-change-culture,IUB_04072016_611.png
4/6/2016,IUB,https://www.idsnews.com/article/2016/04/casares-had-history-in-student-affairs,IUB_04062016_612.png
4/5/2016,IUB,https://www.idsnews.com/article/2016/04/iu-completes-review-of-17-casares-cases,IUB_04052016_613.png
4/4/2016,IUB,https://www.idsnews.com/article/2016/04/review-finds-no-bias-in-17-cases-heard-by-jason-casares,IUB_04042016_614.png
3/31/2016,IUB,https://www.idsnews.com/article/2016/03/man-turns-himself-in-for-for-november-rape,IUB_03312016_616.png
3/30/2016,IUB,https://www.idsnews.com/article/2016/03/speaker-shares-the-affect-of-human-trafficking,IUB_03302016_617.png
3/28/2016,IUB,https://www.idsnews.com/article/2016/03/spencer-man-charged-with-rape-murder-of-child,IUB_03282016_618.png
3/21/2016,IUB,https://www.idsnews.com/article/2016/03/editorial-yale-athlete-not-exempt-from-consequences,IUB_03212016_621.png
3/22/2016,IUB,https://www.idsnews.com/article/2016/03/student-organizations-share-experiences-with-office-of-student-ethics,IUB_03222016_622.png
3/9/2016,IUB,https://www.idsnews.com/article/2016/03/iu-freshman-files-federal-complaint-against-office-of-student-ethics,IUB_03092016_624.png
3/8/2016,IUB,https://www.idsnews.com/article/2016/03/iu-student-files-federal-title-ix-complaint,IUB_03082016_625.png
3/4/2016,IUB,https://www.idsnews.com/article/2016/03/bpd-officer-receives-badge-of-bravery,IUB_03042016_626.png
2/26/2016,IUB,https://www.idsnews.com/article/2016/02/director-of-student-ethics-resigns-following-sexual-assault-allegations,IUB_02262016_630.png
2/25/2016,IUB,https://www.idsnews.com/article/2016/02/brown-county-assault-investigated-by-fbi,IUB_02252016_631.png
