date,location,url,image_file,detected_faces,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,emotion_value
8/19/2018,IUB,https://www.idsnews.com/article/2018/08/cirape081918,IUB_08192018_1592.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
7/16/2018,IUB,https://www.idsnews.com/article/2018/07/opinionbearcat071418,IUB_07162018_1594.png,0,,,,,,,,,
6/1/2018,IUB,https://www.idsnews.com/article/2018/06/entlimestonefestival060118,IUB_06012018_1595.png,0,,,,,,,,,
7/5/2018,IUB,https://www.idsnews.com/article/2018/07/orienteriupdq-a,IUB_07052018_1596.png,2,"['neutral', 'happy']","[3.790564448991063e-05, 0.006326855159056122]","[6.729423268625467e-09, 2.627818041797577e-10]","[0.04117302014492452, 3.497207994035328e-05]","[43.860602378845215, 99.09622663833062]","[0.6051854230463505, 0.0005644881066421408]","[0.00036097883366892347, 1.1137436526294587e-06]","[55.49263954162598, 0.8968466496078163]",1.9722240088982455
5/10/2018,IUB,https://www.idsnews.com/article/2018/05/juvenile-reports-being-raped-by-three-juvenile-males,IUB_05102018_1597.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
4/26/2018,IUB,https://www.idsnews.com/article/2018/04/bloomington-man-arrested-on-2014-rape-allegations,IUB_04262018_1599.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
4/24/2018,IUB,https://www.idsnews.com/article/2018/04/daniel-messel-sentenced-to-15-years-for-battery-in-2012-rape-case,IUB_04242018_1600.png,1,['sad'],[23.71874749660492],[0.005750635318690911],[29.394876956939697],[0.0008509540748491418],[37.529247999191284],[0.026499837986193597],[9.324030578136444],-2.6728608530431686
4/23/2018,IUB,https://www.idsnews.com/article/2018/04/2ag7lbrkgyuczdn,IUB_04232018_1601.png,0,,,,,,,,,
4/20/2018,IUB,https://www.idsnews.com/article/2018/04/entbookcolumn041918,IUB_04202018_1602.png,0,,,,,,,,,
4/18/2018,IUB,https://www.idsnews.com/article/2018/04/looking-back-at-little-500-weekend-crime-and-looking-forward-to-staying-safe-this-weekend,IUB_04182018_1603.png,0,,,,,,,,,
3/30/2018,IUB,https://www.idsnews.com/article/2018/03/man-accused-of-raping-three-bloomington-women-in-fall-2017,IUB_03302018_1604.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
3/30/2018,IUB,https://www.idsnews.com/article/2018/03/rundown033018,IUB_03302018_1605.png,0,,,,,,,,,
3/29/2018,IUB,https://www.idsnews.com/article/2018/03/glazebrook-sentenced-to-125-and-a-half-years-for-2014-crimes,IUB_03292018_1606.png,1,['neutral'],[0.001752814491621803],[5.216699033786163e-12],[0.0017141744250149123],[0.0014438457534414514],[0.006546332250782535],[0.00024330578612106183],[99.9882996075332],-0.00023528371120400455
3/3/2018,IUB,https://www.idsnews.com/article/2018/03/police-arrest-man-for-october-rape,IUB_03032018_1607.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
2/27/2018,IUB,https://www.idsnews.com/article/2018/02/rundown022718,IUB_02272018_1609.png,0,,,,,,,,,
2/27/2018,IUB,https://www.idsnews.com/article/2018/02/messel-expected-to-change-plea-in-april-for-rape-case,IUB_02272018_1610.png,0,,,,,,,,,
2/9/2018,IUB,https://www.idsnews.com/article/2018/02/catkemap020818,IUB_02092018_1612.png,0,,,,,,,,,
1/19/2018,IUB,https://www.idsnews.com/article/2018/01/carape011918,IUB_01192018_1613.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
1/12/2018,IUB,https://www.idsnews.com/article/2018/01/bloomington-man-arrested-jan-5-on-rape-charge,IUB_01122018_1614.png,0,,,,,,,,,
1/5/2018,IUB,https://www.idsnews.com/article/2018/01/ci-messel-timeline-010518,IUB_01052018_1615.png,0,,,,,,,,,
1/5/2018,IUB,https://www.idsnews.com/article/2018/01/cibreakroundup010418,IUB_01052018_1616.png,0,,,,,,,,,
10/30/2019,IUB,https://www.idsnews.com/article/2019/10/iupd-issues-crime-notice-after-a-delayed-report-of-rape-at-iu-residence-hall,IUB_10302019_1617.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
10/3/2019,IUB,https://www.idsnews.com/article/2019/10/city-council-votes-to-declare-second-monday-of-october-indigenous-peoples-day,IUB_10032019_1618.png,0,,,,,,,,,
10/6/2019,IUB,https://www.idsnews.com/article/2019/10/opbiden100219,IUB_10062019_1619.png,0,,,,,,,,,
9/26/2019,IUB,https://www.idsnews.com/article/2019/09/iu-student-raped-at-union-street-center-early-sunday-morning,IUB_09262019_1620.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
5/22/2019,IUB,https://www.idsnews.com/article/2019/05/review-tyler-the-creator-fully-realizes-his-artistic-vision-on-igor,IUB_05222019_1621.png,1,['happy'],[4.161932940848716],[1.300166752477747e-06],[0.06813449787794079],[95.67176155188542],[0.00019671608626233968],[0.00017681693573126778],[0.097794528102782],3.659031553066148
5/21/2019,IUB,https://www.idsnews.com/article/2019/05/bloomington-stopthebans-rally-gathers-community-to-support-reproductive-rights,IUB_05212019_1622.png,4,"['happy', 'happy']","[2.1066249024077202e-05, 0.5559716176573494]","[3.275632117524384e-12, 0.031704643919882904]","[4.1283885439571094e-05, 6.963190351344305]","[99.7765362129531, 87.10052524798807]","[0.0031281370002085047, 1.4943763694910563]","[0.005766097799903024, 0.08608477211664353]","[0.2145139628359057, 3.768143353683549]",1.8937004944107956
5/17/2019,IUB,https://www.idsnews.com/article/2019/05/column-new-abortion-laws-reek-with-hypocrisy,IUB_05172019_1623.png,0,,,,,,,,,
5/15/2019,IUB,https://www.idsnews.com/article/2019/05/legal-battle-heats-up-as-more-states-test-strict-abortion-bans,IUB_05152019_1624.png,2,"['angry', 'happy']","[48.40099513530731, 0.00157737795234425]","[0.08856935892254114, 4.2373784481242183e-07]","[3.079931065440178, 0.006002782174618915]","[3.610396390740789e-05, 97.38127589225769]","[47.964996099472046, 0.010784572805278003]","[0.0014954412108636461, 0.03553125134203583]","[0.46397997066378593, 2.564832754433155]",0.22233171757331793
5/3/2019,IUB,https://www.idsnews.com/article/2019/05/man-arrested-in-connection-to-alleged-september-rape-after-dna-match,IUB_05032019_1625.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
4/10/2019,IUB,https://www.idsnews.com/article/2019/04/a-guide-to-the-big-names-places-and-things-in-the-game-of-thrones-universe,IUB_04102019_1626.png,0,,,,,,,,,
3/25/2019,IUB,https://www.idsnews.com/article/2019/03/a-rape-at-forest-quadrangle-on-march-16-reported-monday,IUB_03252019_1627.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
3/24/2019,IUB,https://www.idsnews.com/article/2019/03/iupd-patrol-on-qualification-night-ends-in-rape-investigation-foot-pursuit,IUB_03242019_1628.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
3/24/2019,IUB,https://www.idsnews.com/article/2019/03/rape-reported-sunday-morning-outside-eigenmann-hall,IUB_03242019_1629.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
3/17/2019,IUB,https://www.idsnews.com/article/2019/03/local-police-to-teach-self-defense-to-bloomington-women,IUB_03172019_1630.png,0,,,,,,,,,
2/9/2019,IUB,https://www.idsnews.com/article/2019/02/man-charged-in-connection-to-alleged-2006-bloomington-rape-after-dna-match,IUB_02092019_1631.png,1,['sad'],[3.1361497938632965],[3.987886998402246e-05],[15.840011835098267],[0.016559682262595743],[45.29737830162048],[0.4738062620162964],[35.23605465888977],-1.7952798167958741
2/7/2019,IUB,https://www.idsnews.com/article/2019/02/indiana-senator-calls-on-u-s-to-address-crises-in-myanmar,IUB_02072019_1632.png,1,['sad'],[0.9674660861492157],[3.7012981124462385e-06],[0.8507195860147476],[0.6772545631974936],[70.69228291511536],[0.013873132411390543],[26.798394322395325],-2.170258355722021
1/31/2019,IUB,https://www.idsnews.com/article/2019/01/bloomington-man-arrested-tuesday-on-2017-rape-charge,IUB_01312019_1633.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
1/21/2019,IUB,https://www.idsnews.com/article/2019/01/shakespeares-titus-andronicus-boasts-blood-murder-hatred,IUB_01212019_1634.png,1,['neutral'],[15.36504328250885],[0.0019759778297157027],[2.1618369966745377],[0.09471203666180372],[15.616658329963684],[2.087239921092987],[64.67254161834717],-1.0438122233069105
1/13/2019,IUB,https://www.idsnews.com/article/2019/01/bruce-arians-arrives-in-tampa-with-chance-to-revitalize-jameis-winston-and-buccaneers-franchise,IUB_01132019_1635.png,0,,,,,,,,,
1/3/2019,IUB,https://www.idsnews.com/article/2019/01/monroe-county-saw-208-arrests-over-winter-break-catch-up-here,IUB_01032019_1637.png,1,['neutral'],[0.0016498648619744927],[1.878548857268958e-11],[1.7624752596020699],[1.2096921913325787],[0.22555605974048376],[0.02621459716465324],[96.77441120147705],0.007285739639833047
12/9/2020,IUB,https://www.idsnews.com/article/2020/12/a-long-federal-death-penalty-hiatus-gave-way-to-an-unprecedented-number-of-executions-this-year-why,IUB_12092020_1638.png,0,,,,,,,,,
11/17/2020,IUB,https://www.idsnews.com/article/2020/11/black-voices-meet-iu-african-students-association,IUB_11172020_1639.png,0,,,,,,,,,
